drug,att_improved,att_not_imp,att_diff,att_ratio,is_lipid_drug,category
BuPROPion (Sustained Release),0.032780430890852585,0.03663202274590731,-0.003851591855054723,0.8948572432985552,False,Other
Nephrocaps,0.017609461676329374,0.021562756039202213,-0.003953294362872839,0.8166609891757091,False,Other
Propranolol LA,0.035157594131305814,0.03936106556405624,-0.004203471432750426,0.8932073770739338,False,Beta-blocker
DULoxetine DR,0.028973960576372013,0.03324029298964888,-0.004266332413276869,0.8716517807287253,False,Other
Filgrastim-sndz,0.02471815049648285,0.02900187410414219,-0.004283723607659339,0.8522949381727191,False,Other
ValGANCIclovir,0.023220997430722822,0.027520569901053723,-0.004299572470330901,0.8437687705672738,False,Other
Meropenem,0.017443278882031638,0.021765103392607094,-0.004321824510575455,0.8014333112681908,False,Other
Heparin (Hemodialysis),0.01734536408406237,0.021682492173884228,-0.004337128089821857,0.7999709602088191,False,Anticoagulant
OSELTAMivir,0.03138378970324993,0.0357377253472805,-0.004353935644030568,0.8781697603380937,False,Other
Amoxicillin-Clavulanic Acid,0.032222169705412605,0.03657908540438203,-0.004356915698969427,0.8808905238935393,False,Other
Lithium Carbonate,0.025541417952626943,0.029929840259931305,-0.004388422307304362,0.8533763538598172,False,Other
Pantoprazole,0.02880010897401,0.03322715473184053,-0.0044270457578305285,0.8667642236129165,False,Other
GuaiFENesin ER,0.025197060353568067,0.02972131504987677,-0.0045242546963087035,0.8477774388947349,False,Other
BuPROPion,0.025905721953936985,0.030471714878720895,-0.0045659929247839105,0.8501563517853585,False,Other
OxyCODONE SR (OxyCONTIN),0.022621689971698368,0.027233065613968807,-0.004611375642270439,0.8306699764309641,False,Other
Atovaquone Suspension,0.02093679760582745,0.02556031233129593,-0.004623514725468479,0.81911352781838,False,Other
Creon 12,0.026097981755932174,0.03087933293233315,-0.004781351176400977,0.8451601533336713,False,Other
Finasteride,0.03115077905404644,0.03601422496140003,-0.0048634459073535925,0.8649576406943028,False,Other
Acetylcysteine 20%,0.018699241971427746,0.02356411246582866,-0.004864870494400913,0.793547475999545,False,Other
MoviPrep,0.034330689115449786,0.03938180223022672,-0.005051113114776934,0.8717399197414065,False,Other
Acetaminophen (Liquid),0.031176420119710457,0.036329935665332505,-0.005153515545622048,0.8581468573714062,False,Other
HYDROcodone-Acetaminophen (5mg-325mg),0.03492954559624195,0.040174401551485064,-0.005244855955243113,0.8694478137148696,False,Other
Albumin 25% (12.5g / 50mL),0.01460633740955314,0.019851497176321262,-0.005245159766768122,0.7357801419116884,False,Other
Cefpodoxime Proxetil,0.031617090698670254,0.036868008014200065,-0.005250917315529811,0.857575236679254,False,Other
